year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2017,0,466,469,596,755,967
2017,1,445,448,596,828,955
2017,2,466,469,596,746,928
2017,3,579,616,752,1009,1043
2017,4,557,558,674,869,1057
2017,5,510,514,636,883,1002
2017,6,818,858,990,1299,1599
2017,7,818,858,990,1299,1599
2017,8,445,448,596,799,955
2017,9,445,448,596,759,1050
2017,10,556,706,815,1088,1341
2017,11,466,469,596,847,955
2017,12,602,606,805,1114,1180
2017,13,538,542,694,949,1223
2017,14,706,801,924,1260,1472
2017,15,599,603,780,1135,1374
2017,16,563,618,745,1013,1313
2017,17,601,605,804,1006,1270
2017,18,461,464,617,815,989
2017,19,610,614,776,1067,1367
2017,20,445,448,596,868,1050
2017,21,818,858,990,1299,1599
2017,22,562,661,822,1084,1343
2017,23,466,469,596,868,955
2017,24,706,801,924,1260,1472
2017,25,605,648,777,1082,1369
2017,26,445,448,596,811,1050
2017,27,818,858,990,1299,1599
2017,28,625,696,815,1107,1413
2017,29,445,448,596,868,955
2017,30,818,858,990,1299,1599
2017,31,445,448,596,795,955
2017,32,818,858,990,1299,1599
2017,33,445,448,596,812,900
2017,34,463,466,596,792,947
2017,35,563,618,745,1013,1313
2017,36,492,517,596,868,971
2017,37,818,858,990,1299,1599
2017,38,556,706,815,1088,1341
2017,39,492,508,596,819,965
2017,40,562,661,822,1084,1343
2017,41,818,858,990,1299,1599
2017,42,510,513,628,859,866
2017,43,818,858,990,1299,1599
2017,44,459,462,614,794,921
2017,45,487,517,596,765,955
2017,46,579,616,752,1009,1043
2017,47,818,858,990,1299,1599
2017,48,492,517,596,868,955
2017,49,538,542,694,949,1223
2017,50,706,801,924,1260,1472
2017,51,445,448,596,774,880
2017,52,445,448,596,762,842
2017,53,476,479,596,808,822
2017,54,486,492,626,783,1004
2017,55,818,858,990,1299,1599
2017,56,497,520,666,885,1117
2017,57,818,858,990,1299,1599
2017,58,445,448,596,763,927
2017,59,818,858,990,1299,1599
2017,60,509,512,681,852,1200
2017,61,445,448,596,838,975
2017,62,602,606,805,1114,1180
2017,63,420,514,633,919,1110
2017,64,494,518,598,799,962
2017,65,449,452,601,815,828
2017,66,818,858,990,1299,1599
2017,67,503,506,627,913,930
2017,68,644,682,818,1047,1134
2017,69,445,448,596,819,822
2017,70,550,554,734,948,1086
2017,71,605,648,777,1082,1369
2017,72,445,448,596,746,822
2017,73,818,858,990,1299,1599
2017,74,818,858,990,1299,1599
2017,75,644,676,808,1034,1261
2017,76,466,469,596,758,955
2017,77,580,584,738,923,1207
2017,78,818,858,990,1299,1599
2017,79,466,469,596,757,837
2017,80,445,448,596,750,967
2017,81,466,469,596,774,955
2017,82,470,473,596,819,822
2017,83,556,706,815,1088,1341
2017,84,472,475,627,861,864
2017,85,538,542,694,949,1223
2017,86,476,479,596,800,1005
2017,87,579,616,752,1009,1043
2017,88,719,782,902,1258,1579
2017,89,463,517,596,809,1050
2017,90,590,641,740,1077,1304
2017,91,538,542,694,949,1223
2017,92,549,552,734,1068,1293
2017,93,445,448,596,746,822
2017,94,625,696,815,1107,1413
2017,95,605,648,777,1082,1369
2017,96,563,618,745,1013,1313
2017,97,602,606,805,1114,1180
2017,98,495,498,662,964,1009
2017,99,492,517,596,746,955
2017,100,445,448,596,746,822
2017,101,562,679,783,1140,1277
2017,102,492,517,596,767,955
2017,103,587,616,711,1035,1170
2017,104,468,471,611,813,1055
2017,105,605,648,777,1082,1369
2017,106,818,858,990,1299,1599
2017,107,625,696,815,1107,1413
2017,108,625,696,815,1107,1413
2017,109,818,858,990,1299,1599
2017,110,430,547,678,910,935
2017,111,818,858,990,1299,1599
2017,112,492,517,596,861,1050
2017,113,818,858,990,1299,1599
2017,114,429,509,676,932,1075
2017,115,475,517,596,833,936
2017,116,549,552,702,878,1006
2017,117,466,469,596,792,955
2017,118,530,534,662,874,912
2017,119,492,495,658,958,1055
2017,120,563,618,745,1013,1313
2017,121,818,858,990,1299,1599
2017,122,445,448,596,868,955
2017,123,445,448,596,821,822
2017,124,466,469,596,792,955
2017,125,818,858,990,1299,1599
2017,126,445,448,596,868,1050
2017,127,447,450,596,856,955
2017,128,526,563,650,813,896
2017,129,628,632,803,1067,1287
2017,130,596,600,763,955,1052
2017,131,492,517,596,868,972
2017,132,492,517,596,845,955
2017,133,445,448,596,746,955
2017,134,579,616,752,1009,1043
2017,135,523,542,675,920,930
2017,136,476,479,622,778,879
2017,137,454,517,596,827,1050
2017,138,547,551,673,881,1167
2017,139,462,465,596,804,955
2017,140,555,558,689,1003,1026
2017,141,466,469,596,770,1050
2017,142,556,706,815,1088,1341
2017,143,458,461,596,746,1017
2017,144,515,540,623,905,976
2017,145,562,661,822,1084,1343
2017,146,818,858,990,1299,1599
2017,147,381,453,596,819,822
2017,148,445,448,596,868,1050
2017,149,492,517,596,813,868
2017,150,445,448,596,804,1050
2017,151,480,483,614,768,984
2017,152,466,469,596,868,955
2017,153,515,519,686,916,1100
2017,154,531,550,652,652,875
2017,155,492,517,596,746,955
2017,156,461,464,617,898,989
2017,157,466,469,596,868,1033
2017,158,579,616,752,1009,1043
