year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2020,0,513,516,651,932,1044
2020,1,491,494,651,907,998
2020,2,556,572,651,834,1143
2020,3,601,623,740,965,1077
2020,4,605,608,718,895,973
2020,5,570,587,668,862,946
2020,6,996,1025,1167,1489,1824
2020,7,996,1025,1167,1489,1824
2020,8,536,540,651,874,932
2020,9,493,496,651,928,1079
2020,10,502,677,771,1001,1137
2020,11,513,516,651,845,998
2020,12,653,657,786,1094,1159
2020,13,549,552,720,1025,1264
2020,14,838,887,1010,1385,1589
2020,15,550,597,709,1023,1245
2020,16,689,722,848,1156,1489
2020,17,689,694,914,1209,1454
2020,18,491,494,651,858,932
2020,19,682,687,853,1162,1427
2020,20,513,516,651,913,998
2020,21,996,1025,1167,1489,1824
2020,22,636,694,838,1092,1306
2020,23,556,572,651,829,932
2020,24,838,887,1010,1385,1589
2020,25,594,670,790,1062,1387
2020,26,491,494,651,893,1114
2020,27,996,1025,1167,1489,1824
2020,28,690,723,848,1150,1362
2020,29,513,516,651,939,998
2020,30,996,1025,1167,1489,1824
2020,31,513,516,651,939,998
2020,32,996,1025,1167,1489,1824
2020,33,556,572,651,811,882
2020,34,513,516,651,811,923
2020,35,689,722,848,1156,1489
2020,36,552,555,651,861,1017
2020,37,996,1025,1167,1489,1824
2020,38,502,677,771,1001,1137
2020,39,513,516,651,876,963
2020,40,636,694,838,1092,1306
2020,41,996,1025,1167,1489,1824
2020,42,491,495,651,865,882
2020,43,996,1025,1167,1489,1824
2020,44,491,494,651,811,932
2020,45,542,572,651,811,882
2020,46,601,623,740,965,1077
2020,47,996,1025,1167,1489,1824
2020,48,473,572,651,841,933
2020,49,549,552,720,1025,1264
2020,50,838,887,1010,1385,1589
2020,51,530,533,651,867,1042
2020,52,507,510,651,881,1087
2020,53,513,516,651,811,1111
2020,54,585,598,682,976,1168
2020,55,996,1025,1167,1489,1824
2020,56,609,613,755,1013,1213
2020,57,996,1025,1167,1489,1824
2020,58,424,572,651,924,998
2020,59,996,1025,1167,1489,1824
2020,60,578,581,745,928,1209
2020,61,534,537,651,918,969
2020,62,653,657,786,1094,1159
2020,63,517,534,653,942,1146
2020,64,513,525,671,917,955
2020,65,580,597,679,884,970
2020,66,996,1025,1167,1489,1824
2020,67,479,536,703,949,952
2020,68,700,789,898,1195,1315
2020,69,513,516,651,939,1003
2020,70,692,697,834,1053,1305
2020,71,594,670,790,1062,1387
2020,72,503,506,667,831,1050
2020,73,996,1025,1167,1489,1824
2020,74,996,1025,1167,1489,1824
2020,75,687,786,895,1150,1471
2020,76,513,516,651,811,998
2020,77,581,585,769,1026,1201
2020,78,996,1025,1167,1489,1824
2020,79,513,516,651,811,953
2020,80,491,494,651,836,1057
2020,81,513,516,651,841,998
2020,82,556,572,651,879,882
2020,83,502,677,771,1001,1137
2020,84,654,673,766,1007,1199
2020,85,549,552,720,1025,1264
2020,86,529,533,651,872,1070
2020,87,601,623,740,965,1077
2020,88,709,781,889,1282,1561
2020,89,548,590,672,930,941
2020,90,539,543,682,984,1051
2020,91,549,552,720,1025,1264
2020,92,636,640,843,1112,1423
2020,93,491,494,651,811,943
2020,94,690,723,848,1150,1362
2020,95,594,670,790,1062,1387
2020,96,689,722,848,1156,1489
2020,97,653,657,786,1094,1159
2020,98,624,628,827,1193,1246
2020,99,589,606,690,860,1058
2020,100,556,572,651,844,882
2020,101,494,632,719,915,1240
2020,102,556,572,651,936,998
2020,103,784,806,918,1215,1612
2020,104,519,555,732,937,1022
2020,105,594,670,790,1062,1387
2020,106,996,1025,1167,1489,1824
2020,107,690,723,848,1150,1362
2020,108,690,723,848,1150,1362
2020,109,996,1025,1167,1489,1824
2020,110,504,551,726,980,983
2020,111,996,1025,1167,1489,1824
2020,112,556,569,651,889,1100
2020,113,996,1025,1167,1489,1824
2020,114,551,554,730,945,989
2020,115,496,572,651,939,1058
2020,116,655,674,767,956,1072
2020,117,513,516,651,939,998
2020,118,523,527,694,883,1090
2020,119,513,516,680,847,1043
2020,120,689,722,848,1156,1489
2020,121,996,1025,1167,1489,1824
2020,122,491,494,651,939,998
2020,123,491,494,651,864,998
2020,124,523,526,693,880,1052
2020,125,996,1025,1167,1489,1824
2020,126,491,494,651,939,1130
2020,127,491,494,651,811,998
2020,128,536,539,710,885,1229
2020,129,519,522,658,856,1009
2020,130,533,537,673,843,1143
2020,131,556,572,651,933,1143
2020,132,453,572,651,850,1024
2020,133,447,516,651,811,998
2020,134,601,623,740,965,1077
2020,135,588,591,779,979,1236
2020,136,514,517,651,811,934
2020,137,491,504,651,853,1094
2020,138,583,587,715,925,1238
2020,139,513,516,651,923,932
2020,140,593,597,786,1085,1107
2020,141,513,516,651,811,1143
2020,142,502,677,771,1001,1137
2020,143,507,510,648,909,1091
2020,144,448,532,688,869,1044
2020,145,636,694,838,1092,1306
2020,146,996,1025,1167,1489,1824
2020,147,424,494,651,917,1053
2020,148,491,494,651,861,1143
2020,149,556,572,651,884,888
2020,150,491,494,651,890,932
2020,151,513,516,651,811,998
2020,152,513,516,651,939,998
2020,153,566,570,718,949,973
2020,154,531,607,753,1032,1037
2020,155,513,519,651,811,998
2020,156,511,515,678,863,1040
2020,157,514,517,652,812,1047
2020,158,601,623,740,965,1077
